oldobjectid,objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,,in drive,original filename,display_template,object_location,image_small,image_thumb
uiblackhistory001,bsuhousing,bsuhousing.pdf,Memorandum regarding Black Student Union use of basement and main floor of the Canterbury Center,Tom Richardson,Memorandum from Tom Richardson to Ed Stohs concerning the temporary reassignment of Canterbury Center for BSU.  ,1973-03-15,,Black Student Union,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,bsuhousing,y,bsuhousing.pdf,,/objects/bsuhousing.pdf,/objects/small/bsuhousing_sm.jpg,/objects/thumbs/bsuhousing_th.jpg
uiblackhistory026,bsuhousing2,bsuhousing2.pdf,Correspondence regarding Black Student Union's fiscal responsibility,Tom Richardson,Memorandum from Tom Richardson to Eddie Robinson and Jay Wheeler concerning the university's relationship to the Black Student Union and concerns about B.S.U.'s state of operations.,1972-04-07,,Black Student Union,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,bsuhousing2_2,y; combined,bsuhousing2.2pdf,,/objects/bsuhousing2.pdf,/objects/small/bsuhousing2_sm.jpg,/objects/thumbs/bsuhousing2_th.jpg
uiblackhistory050,h1,h1.pdf,Memorandum from Ad Hoc committee on ethnic understanding listing a schedule for meetings ,Corlann Bush; Siegfried Rolland; Jean Hill; Harry Davey; Mary Ruth Mann; Jesse Craig; Robert Coonrod; Loren Dantzler,Memorandum from the Ad Hoc committe on ethnic undersanding with a schedule listing meetings over a two day period.,1971-03-11,,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h1,y,H1.jpg,,/objects/h1.pdf,/objects/small/h1_sm.jpg,/objects/thumbs/h1_th.jpg
uiblackhistory051,h10,h10.pdf,Budget request for other expenses for fiscal year 1972-1973,,Budget request form for other expense for the 1972-1973 fiscal year. Handwritten notes with requests for Black Studies programs are on the bottom of the document.,1972,yes,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h10,y,H10.jpg,,/objects/h10.pdf,/objects/small/h10_sm.jpg,/objects/thumbs/h10_th.jpg
uiblackhistory052,h11,h11.pdf,Budget request for equipment and other capital outlay for fiscal year 1972-1973,,"Budget request form for other expense for fiscal year1972-1973. Handwritten notes for $150 for bookcases requested and $5,000 for Black Studies library.",1972,yes,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h11,y,H11.jpg,,/objects/h11.pdf,/objects/small/h11_sm.jpg,/objects/thumbs/h11_th.jpg
uiblackhistory053,h12,h12.pdf,University of Idaho summary of budget request for fiscal year 1972-73,,Blank form for University of Idaho summary of budget request for 1972-1973.,1972,yes,Black Studies,,,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,h12,y,H12.jpg,,/objects/h12.pdf,/objects/small/h12_sm.jpg,/objects/thumbs/h12_th.jpg
uiblackhistory299,h13_101,h13_101.pdf,Statitics on International Students,,Second Semester 1971-1972,1972,yes,Minority Student Programs; Student Statistics,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har3,y,H13 101.jpg,,/objects/h13_101.pdf,/objects/small/h13_101_sm.jpg,/objects/thumbs/h13_101_th.jpg
uiblackhistory300,h13_105,h13_105.pdf,"Memorandum regarding ""Board Agenda Item on BSU House""",Tom Richardson,Memorandum to Dr. Carter concerning the “failure” of BSU rental and its conversion to just a minorities program center.,1972-06-19,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har4,y,H13 105.jpg; ,,/objects/h13_105.pdf,/objects/small/h13_105_sm.jpg,/objects/thumbs/h13_105_th.jpg
uiblackhistory306,h13_107,h13_107.pdf,"Memorandum regarding ""BSU House, 1972-1973""",Tom Richardson,Memorandum to Dr. Carter concerning the 706 Deakin Ave house switching from a family housing unit rental for BSU to minorities student center operated under BSU.,1972-06-13,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har5,y,H13 107.jpg,,/objects/h13_107.pdf,/objects/small/h13_107_sm.jpg,/objects/thumbs/h13_107_th.jpg
uiblackhistory307,h13_108,h13_108.pdf,Agenda Items,,Discusses further the agenda item mentioned in H13 107.jpg (or har6.jpg).,,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har6,y,H13 108.jpg,,/objects/h13_108.pdf,/objects/small/h13_108_sm.jpg,/objects/thumbs/h13_108_th.jpg
uiblackhistory311,h13_110,h13_110.pdf,"Memorandum regarding ""University relationship to Black Student Union""",Tom Richardson,Cites issues with current BSU body concerning rent and electricity of the BSU building.,1972-04-07,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har17,y; combined,H13 119.jpg; H13 120.jpg        BSUHousing2.jpg,,/objects/h13_110.pdf,/objects/small/h13_110_sm.jpg,/objects/thumbs/h13_110_th.jpg
uiblackhistory308,h13_111,h13_111.pdf,"Memorandum titled ""Contractual Relationships""",Sherman Carter,Memorandum to Hartung concerning issues withe BSU and next steps in dealing with the issue.,1972-04-10,,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har7,y,H13 111.jpg,,/objects/h13_111.pdf,/objects/small/h13_111_sm.jpg,/objects/thumbs/h13_111_th.jpg
uiblackhistory309,h13_112,h13_112.pdf,Addendum to B.S.U Organizational Statement Projected Program for the School Year 1972-1973,BSU,Addendum lists several programs for the Black Studies program for 1972-1973 school year.  Addendum proposed by the BSU.,1972-1973,yes,Black Student Union; Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har8,y,H13 112.jpg,,/objects/h13_112.pdf,/objects/small/h13_112_sm.jpg,/objects/thumbs/h13_112_th.jpg
uiblackhistory310,h13_113,h13_113.pdf,Proposal for a new Afro-American Studies course,BSU,"Purpose statement for proposal of Afro-American course called ""Pan-Africanism-Afro-Americanism: Comparative Perspectives.""",,no,Black Studies,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har9,y,H13 113.jpg,,/objects/h13_113.pdf,/objects/small/h13_113_sm.jpg,/objects/thumbs/h13_113_th.jpg
uiblackhistory302,h13_115,h13_115.pdf,The Rationale for the Black Student Union,,Document that states that the BSU is necessary for both acting as a coordinator for Black student life on campus and as a Black Cultural Center.,1971-12-01,no,Black Student Union,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har11,y,H13 115.jpg;    BSU December 1971.jpg,,/objects/h13_115.pdf,/objects/small/h13_115_sm.jpg,/objects/thumbs/h13_115_th.jpg
uiblackhistory303,h13_116,h13_116.pdf,Addendum to Recommendations Regarding Afro-American Studies at the University of Idaho,BSU,Addendum to recommendations regarding afro-american studies at U of I.,,no,Black Studies ,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har12,y,H13 116.jpg,,/objects/h13_116.pdf,/objects/small/h13_116_sm.jpg,/objects/thumbs/h13_116_th.jpg
uiblackhistory304,h13_117,h13_117.pdf,Black Studies Program Course Offerings Fall Semester 1971-1972,,Page showcasing courses for the Black Studies Program for the 1971-1972 academic year.,1972,yes,Black Studies ,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,har13,y,H13 117.jpg,,/objects/h13_117.pdf,/objects/small/h13_117_sm.jpg,/objects/thumbs/h13_117_th.jpg
